policy,task_id,workload,seed,actions,success,expected_success,cost,latency_s,retries,route_valid,within_cost_budget,within_latency_budget,confidence,rationale,failure_mode
direct,data_analysis-000,data_analysis,0,answer,True,0.6752335218316466,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-001,data_analysis,0,answer,True,0.5650348019233628,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-002,data_analysis,0,answer,False,0.4703170457910059,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-003,data_analysis,0,answer,False,0.3947527911629756,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-004,data_analysis,0,answer,True,0.6798188190865435,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-005,data_analysis,0,answer,False,0.5670359631124723,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-006,data_analysis,0,answer,False,0.48335827220828653,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-007,data_analysis,0,answer,True,0.3838748442939406,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,data_analysis-008,data_analysis,0,answer,True,0.6672492730617223,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-009,data_analysis,0,answer,True,0.5670145256375941,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-010,data_analysis,0,answer,False,0.48865746922412195,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-011,data_analysis,0,answer,True,0.371798560600425,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,data_analysis-012,data_analysis,0,answer,True,0.6665407320843063,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-013,data_analysis,0,answer,True,0.5879669909724956,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-014,data_analysis,0,answer,True,0.46704889667753174,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-015,data_analysis,0,answer,False,0.3851954542345285,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-016,data_analysis,0,answer,False,0.6606928063038335,0.65,4.0,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-017,data_analysis,0,answer,True,0.5627158789849818,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-018,data_analysis,0,answer,True,0.47247639878744563,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-019,data_analysis,0,answer,True,0.37351603580345,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,data_analysis-020,data_analysis,0,answer,True,0.6523613529951994,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-021,data_analysis,0,answer,True,0.5649907321803456,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-022,data_analysis,0,answer,True,0.47745644305874435,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-023,data_analysis,0,answer,False,0.37342625552845893,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-024,data_analysis,0,answer,True,0.6659750352414285,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-025,data_analysis,0,answer,False,0.5781730432557783,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-026,data_analysis,0,answer,True,0.4863254423048765,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-027,data_analysis,0,answer,False,0.39779861376846304,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-028,data_analysis,0,answer,False,0.6800313355902027,0.65,4.0,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-029,data_analysis,0,answer,True,0.5628238145597022,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-030,data_analysis,0,answer,True,0.49177083891522616,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-031,data_analysis,0,answer,False,0.3762555085763084,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-032,data_analysis,0,answer,True,0.6714651416432076,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-033,data_analysis,0,answer,True,0.5788353748008366,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-034,data_analysis,0,answer,False,0.4693464578189914,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-035,data_analysis,0,answer,False,0.37816060821110825,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-036,data_analysis,0,answer,True,0.6646655206036619,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-037,data_analysis,0,answer,True,0.5712771046906242,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-038,data_analysis,0,answer,False,0.4875721631421994,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-039,data_analysis,0,answer,True,0.3968125501442442,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,data_analysis-040,data_analysis,0,answer,True,0.6723844242257222,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-041,data_analysis,0,answer,True,0.576066718353916,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-042,data_analysis,0,answer,True,0.47781379118838835,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-043,data_analysis,0,answer,False,0.38340748117278556,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-044,data_analysis,0,answer,True,0.6547938200792183,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-045,data_analysis,0,answer,False,0.5594516149469864,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-046,data_analysis,0,answer,True,0.4867658622660759,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-047,data_analysis,0,answer,True,0.3744276330423919,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,data_analysis-048,data_analysis,0,answer,False,0.6628881269288973,0.65,4.0,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-049,data_analysis,0,answer,False,0.5881016218151687,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-050,data_analysis,0,answer,False,0.48894956285821545,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-051,data_analysis,0,answer,False,0.3902180171985823,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-052,data_analysis,0,answer,True,0.6739689371205527,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-053,data_analysis,0,answer,False,0.5687133471263711,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-054,data_analysis,0,answer,True,0.4858940642941357,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-055,data_analysis,0,answer,False,0.381410732341789,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,data_analysis-056,data_analysis,0,answer,True,0.6525288029145218,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,data_analysis-057,data_analysis,0,answer,True,0.5691252444038102,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,data_analysis-058,data_analysis,0,answer,True,0.476205882263118,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,data_analysis-059,data_analysis,0,answer,False,0.3806867239002898,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-000,research,0,answer,True,0.677895629645145,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-001,research,0,answer,False,0.5708294860007661,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-002,research,0,answer,False,0.47570574113244396,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,research-003,research,0,answer,False,0.3944429449611522,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-004,research,0,answer,True,0.6653156421176339,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-005,research,0,answer,True,0.5700943245812445,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,research-006,research,0,answer,True,0.46469952170278095,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-007,research,0,answer,False,0.3749195957508611,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-008,research,0,answer,True,0.6707185082328122,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-009,research,0,answer,False,0.5738815783370236,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-010,research,0,answer,True,0.4849486691325851,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-011,research,0,answer,False,0.3883748642397532,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-012,research,0,answer,True,0.6724647817173787,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-013,research,0,answer,False,0.5606983063934665,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-014,research,0,answer,True,0.48893067189603234,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-015,research,0,answer,True,0.3906932182294002,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,research-016,research,0,answer,True,0.6561278423393011,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-017,research,0,answer,True,0.5816900616113001,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,research-018,research,0,answer,True,0.4832811606193866,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-019,research,0,answer,True,0.3738057044965464,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,research-020,research,0,answer,True,0.6756507080104767,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-021,research,0,answer,True,0.5715616506316304,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,research-022,research,0,answer,True,0.48095058520315925,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-023,research,0,answer,False,0.376020959790123,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-024,research,0,answer,True,0.662538700482798,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-025,research,0,answer,True,0.5787045156543242,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,research-026,research,0,answer,False,0.4780900833650557,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,research-027,research,0,answer,True,0.38951048672357386,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,research-028,research,0,answer,True,0.661673986680156,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-029,research,0,answer,False,0.5628244251802326,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-030,research,0,answer,True,0.47224516116870296,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-031,research,0,answer,False,0.4009093449605545,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-032,research,0,answer,True,0.6583055586012444,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-033,research,0,answer,True,0.5788569583113184,0.702,4.32,0,True,True,True,0.5,fixed route,
direct,research-034,research,0,answer,False,0.49036035418144686,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,research-035,research,0,answer,True,0.39928143541160416,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,research-036,research,0,answer,True,0.6657708072308722,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-037,research,0,answer,False,0.5715627125056912,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-038,research,0,answer,True,0.47898027502672014,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-039,research,0,answer,False,0.37714428204794503,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-040,research,0,answer,True,0.652841653406819,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-041,research,0,answer,False,0.5831789515672549,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-042,research,0,answer,False,0.4787626031616909,0.754,4.64,0,True,True,True,0.5,fixed route,task_failure
direct,research-043,research,0,answer,True,0.379289005095571,0.806,4.96,0,True,True,True,0.5,fixed route,
direct,research-044,research,0,answer,True,0.679246731383991,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-045,research,0,answer,False,0.5838891151033206,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-046,research,0,answer,True,0.4904751239871757,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-047,research,0,answer,False,0.3894344418458743,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-048,research,0,answer,False,0.668457128814043,0.65,4.0,0,True,True,True,0.5,fixed route,task_failure
direct,research-049,research,0,answer,False,0.5853853907436963,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
direct,research-050,research,0,answer,True,0.47579751355701744,0.754,4.64,0,True,True,True,0.5,fixed route,
direct,research-051,research,0,answer,False,0.38237638604083546,0.806,4.96,0,True,True,True,0.5,fixed route,task_failure
direct,research-052,research,0,answer,True,0.6659442541483166,0.65,4.0,0,True,True,True,0.5,fixed route,
direct,research-053,research,0,answer,False,0.5715390218753751,0.702,4.32,0,True,True,True,0.5,fixed route,task_failure
